     79/99     12.6G   0.03616   0.08709  0.002034    0.1253       390       640    0.8404    0.8283    0.8883    0.4733    0.0964    0.2272  0.008015
     80/99     12.6G   0.03592   0.09323  0.003749    0.1329       521       640    0.8304    0.8445    0.8906    0.4749   0.09649    0.2256  0.007593
     81/99     12.6G   0.03589    0.0905   0.00281    0.1292       482       640    0.8394    0.8341    0.8882    0.4742   0.09647    0.2274  0.006934
     82/99     12.6G   0.03356   0.08977  0.001721    0.1251       109       640     0.849    0.8222    0.8865    0.4737   0.09654    0.2266  0.006868
     83/99     12.6G   0.03606    0.0958  0.002337    0.1342       497       640     0.837    0.8354    0.8894    0.4723   0.09667     0.224  0.006991
     84/99     12.6G   0.03597   0.09324  0.002009    0.1312       518       640    0.8211    0.8568    0.8909    0.4749   0.09661    0.2242  0.007339
     85/99     12.6G    0.0359   0.08795  0.002319    0.1262       366       640    0.8356    0.8373    0.8902     0.473   0.09652    0.2292  0.007535
     86/99     12.6G   0.03106   0.08768  0.001754    0.1205       159       640    0.8443    0.8233    0.8877    0.4758   0.09646    0.2286  0.007696
     87/99     12.6G   0.03099   0.09006  0.001412    0.1225       576       640    0.8491    0.8193    0.8871    0.4746   0.09662    0.2285  0.007833
     88/99     12.6G   0.04132   0.09284  0.002468    0.1366       505       640    0.8451    0.8348    0.8907    0.4776   0.09645    0.2283  0.008012
     89/99     12.6G   0.04122   0.09298  0.003293    0.1375       516       640     0.824    0.8562    0.8906    0.4775    0.0965    0.2267  0.007811
     90/99     12.6G   0.04197   0.09282  0.001646    0.1364       287       640    0.8325    0.8454    0.8889    0.4722   0.09669     0.229  0.007636
     91/99     12.6G   0.03321    0.0882  0.001808    0.1232       425       640    0.8211    0.8575    0.8889    0.4767   0.09649    0.2253  0.007597
     92/99     12.6G   0.02814   0.09242  0.001335    0.1219       749       640    0.8339    0.8458    0.8917    0.4765   0.09661    0.2277  0.007732
     93/99     12.6G   0.03549   0.09308  0.002686    0.1313       359       640    0.8364    0.8429    0.8927    0.4753   0.09659    0.2254  0.007742
     94/99     12.6G    0.0309    0.0862  0.002144    0.1192       315       640    0.8357    0.8369    0.8884    0.4739   0.09646     0.231  0.007587
     95/99     12.6G   0.03086   0.08953  0.001604     0.122       345       640    0.8234    0.8528    0.8932    0.4763   0.09664    0.2273  0.007459
     96/99     12.6G   0.03021   0.08529  0.002113    0.1176       353       640    0.8238    0.8531    0.8909    0.4776   0.09652    0.2299  0.007326
     97/99     12.6G   0.02775   0.08999  0.001573    0.1193       407       640    0.8393    0.8358    0.8895    0.4756   0.09661    0.2277  0.007219
     98/99     12.6G   0.03572   0.09015  0.001846    0.1277       574       640    0.8394    0.8276    0.8871    0.4726   0.09662    0.2307  0.007055
     99/99     12.6G   0.03806   0.08887  0.002047     0.129       563       640    0.8306    0.8335    0.8857    0.4693    0.0967    0.2284  0.006852
